JobId,YieldScopePriority_X,YieldScopePriority_Y,IsYieldForEnabled,IsYieldedEnabled,TokenAllocation,QuotaTokens,TotalWaitingTimeInMins,SLA,EstimatedRemainingRunningTimeInMins
6CBB2A0C-B1A4-4475-98DE-4659BA4F7235,1,0,1,1,2000,10687,0.210164685,00:00.0,360
2EC9EB73-36FC-44B6-89BB-3318312AE465,1,0,1,1,2000,10687,5.225699512,00:00.0,360
11446C08-AA20-4A9D-BA65-077F9680C72F,1,0,1,1,1000,3984,24.39939051,00:00.0,360
f7ac7f18-c74f-41ee-8d1a-4d799de8e054,NULL,NULL,1,0,800,9714,200.9070806,NULL,240
DF8BE89A-3E45-4198-827A-30978CC93D89,1,0,1,1,2000,10687,50.94371687,00:00.0,180
F80FFA97-B5BF-4206-8520-04F4F38E7648,1,0,1,1,2000,10687,9.744113028,00:00.0,180
533C76F9-8C06-46C7-893C-BBCA347CCCA5,1,0,1,1,400,10687,30.21645842,00:00.0,120
85051F19-3BB4-4435-97D5-D89F16BC72B6,1,0,1,1,400,10687,66.0417089,00:00.0,120
83EB89C7-642C-4198-8DED-91423EB34BEE,1,0,1,1,400,10687,145.3417091,00:00.0,120
72DAD7CA-5E15-41E8-963E-6BE10639596A,1,0,1,1,1000,2915,7.445268907,00:00.0,120
A3EFE8FD-3F68-4DC6-9A5C-01AEECBA63BC,1,0,1,1,400,10687,40.34713594,00:00.0,120
A0FA5457-8ED9-4790-A6B8-0D264AFF923A,1,0,1,1,400,10687,18.01657455,00:00.0,120
EB35F0FA-ADCF-48E6-BD0C-2D55932326C0,1,0,1,1,400,10687,41.3782617,00:00.0,60
6E352BA6-2B9E-4339-A244-723543936CDA,1,0,1,1,400,10687,14.04585243,00:00.0,60
B46003FC-4CDA-41B2-8CE2-8179C569F330,1,0,1,1,1001,415,6.48788688,00:00.0,60
117ECD27-90CB-463C-B223-9E22552B908D,1,0,1,1,400,10687,18.94112825,00:00.0,60
DC3808FE-3545-4BC4-B667-6A23F462DAE9,1,0,1,1,400,10687,17.88705396,00:00.0,60
73FD71C3-7CC1-43DC-965D-20DA4C3A3A6D,1,0,1,1,1000,3984,14.49250847,00:00.0,60
1EFB1E44-3A7C-481C-B69E-1504C89DC2F7,1,0,1,1,400,10687,136.0758831,00:00.0,60
EB35F0FA-ADCF-48E6-BD0C-2D55932326C0,1,0,1,1,400,10687,97.64287311,00:00.0,60
