,YieldScopePriority_X,YieldScopePriority_Y,IsYieldForEnabled,IsYieldedEnabled,TokenAllocation,QuotaTokens,TotalWaitingTimeInMins,EstimatedRemainingRunningTimeInMins,IsQuotaFullyLoad,WhetherHasSLA,Priority
0,1.0,0.0,1,1,190,10687,0.950717667,360,0,0,70
1,,,1,1,4000,14572,165.3896731,360,1,1,137
2,,,1,1,400,2150,86.81816015,360,0,0,130
3,2.0,0.0,1,1,50,29125,0.67591112,360,0,1,81
4,1.0,0.0,1,1,190,10687,52.08204345,360,1,0,94
5,1.0,0.0,1,1,50,10687,5.959147405,360,0,1,52
6,,,1,1,500,29125,33.44165027,360,0,0,113
7,1.0,0.0,1,1,1000,0,0.322353737,360,1,1,90
8,1.0,0.0,1,1,200,10687,7.529508183,360,1,0,91
9,1.0,0.0,1,0,1500,1457,5.789832415,360,1,1,98
10,1.0,0.0,1,1,51,10687,16.74005816,360,1,0,93
11,1.0,1.0,0,1,500,9714,48.68617067,360,1,0,109
12,1.0,0.0,1,1,1000,10687,1.3041196,360,1,1,77
13,,,1,1,600,29125,123.6733646,360,0,1,98
14,,,1,1,350,7500,12.18112535,360,0,0,113
15,,,1,1,234,2150,10.05645455,360,0,0,116
16,,,1,0,259,147,15.52340946,360,1,0,159
17,,,0,1,2000,29125,76.21586271,360,1,0,146
18,1.0,0.0,1,0,1000,1457,23.01655104,360,0,1,76
19,,,1,1,400,2150,204.7911663,360,0,0,138
20,,,1,1,1200,7500,0.688970238,360,1,0,143
21,,,1,1,300,29125,41.71446353,360,0,0,114
22,1.0,0.0,1,0,10,10687,42.30996454,360,1,1,82
23,1.0,0.0,1,1,259,10687,92.01134372,7,1,1,28
24,1.0,0.0,1,1,31,10687,27.14402499,360,0,0,74
25,,,1,1,234,2150,2.971501985,360,1,0,135
26,1.0,0.0,1,1,5000,10687,0.0,360,0,1,67
27,1.0,0.0,1,1,31,10687,18.02995246,360,1,0,93
28,,,1,1,200,29125,208.0096646,360,0,0,126
29,,,1,1,234,7800,4.837221295,360,1,0,131
30,,,1,1,600,29125,0.534712127,360,0,1,91
31,,,1,1,234,2150,12.94656504,360,0,0,117
32,1.0,0.0,1,1,33,10687,2.090993482,360,0,0,72
33,2.0,0.0,1,1,1000,29125,206.0138075,360,1,1,115
34,1.0,0.0,1,1,200,10687,7.708412158,360,1,0,91
35,,,1,1,259,7500,93.64634877,360,1,0,136
36,1.0,0.0,1,1,190,10687,5.495010702,360,1,0,92
37,,,1,1,1000,10687,150.2745449,5,1,0,95
38,1.0,0.0,1,1,180,10687,0.345677418,360,1,0,90
39,,,1,1,500,29125,85.48293448,360,1,0,137
40,,,1,1,1000,10687,5.01554407,5,0,0,67
41,1.0,0.0,1,1,1000,10687,0.0,360,1,1,75
42,1.0,0.0,1,1,110,10687,11.03150594,360,1,0,93
43,,,1,1,400,2150,10.1240699,360,0,0,125
44,,,1,1,8000,14572,45.15623824,360,0,1,109
45,,,1,1,8000,14572,201.7388597,360,1,1,140
46,2.0,0.0,1,1,50,29125,30.94944137,360,1,1,102
47,1.0,0.0,1,1,49,10687,35.84566985,360,1,0,94
48,2.0,0.0,1,1,1000,29125,13.83116566,360,0,1,81
49,1.0,0.0,1,1,500,10687,10.35606585,360,1,1,73
50,,,1,1,100,29125,32.41467561,360,0,0,114
51,1.0,0.0,1,1,23,10687,0.202005667,360,1,0,90
52,1.0,0.0,1,1,41,10687,7.558478863,360,0,0,73
