,YieldScopePriority_X,YieldScopePriority_Y,IsYieldForEnabled,IsYieldedEnabled,TokenAllocation,QuotaTokens,TotalWaitingTimeInMins,IsQuotaFullyLoad,isExceedSLA,Priority
732,2,0,1,1,600,27700,256.4069727,0,TRUE,7
398,2,0,1,1,50,29125,131.3343515,0,TRUE,15
468,2,0,1,1,999,29125,119.5997958,0,TRUE,16
907,2,0,1,1,50,29125,72.91113115,0,TRUE,18
140,,,1,1,500,14572,480.8693591,0,TRUE,19
261,,,1,1,1500,13859,148.844147,0,TRUE,20
952,1,0,1,1,600,10687,54.71705875,0,TRUE,20
396,,,1,1,500,14572,503.3666661,1,TRUE,21
292,1,0,1,1,257,10687,0,0,TRUE,22
297,1,0,1,1,600,10687,1.993621947,0,TRUE,22
423,2,0,1,1,500,29125,6.009117422,0,TRUE,22
438,1,0,1,1,500,10687,0.309809617,0,TRUE,22
481,1,0,1,1,600,10164,18.39797897,0,TRUE,22
673,1,0,1,1,49,10687,8.421033468,0,TRUE,22
680,1,0,1,1,500,10687,4.993669885,0,TRUE,22
878,1,0,1,1,500,10687,0.901815305,0,TRUE,22
965,1,0,1,1,1000,10687,41.35829943,0,TRUE,22
104,1,0,1,1,400,10687,2.479810813,0,TRUE,23
587,2,0,1,1,600,29125,51.60956037,0,TRUE,23
722,2,0,1,1,50,29125,0.388686267,0,TRUE,23
33,,,1,1,600,29125,3.3844699,0,TRUE,24
122,1,0,1,1,50,10164,1.745981315,0,TRUE,24
151,,,1,1,600,29125,0.291966042,0,TRUE,24
954,2,0,1,1,1000,27700,1.467942912,0,TRUE,24
31,1,0,1,0,500,2915,0,0,TRUE,25
269,,,1,1,5000,14572,85.98810279,0,TRUE,25
311,2,0,1,1,1000,27700,68.08759514,0,TRUE,25
161,1,0,1,1,500,10687,0.678068552,0,TRUE,26
327,,,1,1,8000,14572,105.1500447,0,TRUE,26
992,1,0,1,0,300,2915,37.65544407,0,TRUE,26
330,1,0,1,1,1297,10687,24.33970438,0,TRUE,27
106,1,0,1,1,1220,10164,0.066243925,0,TRUE,28
244,1,0,1,0,500,2915,0.05570096,0,TRUE,28
262,2,0,1,1,1000,29125,11.04974781,0,TRUE,28
564,1,0,1,0,2000,10687,0,0,TRUE,28
650,1,0,1,0,500,2915,15.63813643,0,TRUE,28
49,,,1,1,8000,14572,87.03382882,0,TRUE,29
116,2,0,1,1,500,27700,0.554946292,0,TRUE,29
603,2,0,1,1,50,29125,211.1422739,1,TRUE,29
37,,,1,1,5000,14572,74.51678025,0,TRUE,30
203,1,0,1,1,3001,415,0.194256812,0,TRUE,30
265,,,1,1,1500,14572,0.056837455,0,TRUE,30
372,,,1,1,1500,14572,0.061374583,0,TRUE,30
522,1,0,1,0,1001,395,5.983123727,0,TRUE,30
817,,,1,1,1500,14572,0.055287117,0,TRUE,30
928,,,1,1,1500,14572,0.054922222,0,TRUE,30
575,1,0,1,1,3000,3984,2.81458424,0,TRUE,31
591,,,1,1,5000,14572,30.34959073,0,TRUE,31
639,0,10,1,1,234,1875,0.097388567,0,TRUE,31
689,,,1,1,5000,14572,30.51683785,0,TRUE,31
733,1,0,1,1,3000,9714,3.746153567,0,TRUE,31
803,1,0,1,1,1200,2915,1.692119653,0,TRUE,31
903,1,0,1,0,2000,10687,0.421600978,0,TRUE,31
926,1,0,1,0,500,2915,0.641470458,0,TRUE,31
976,,,1,1,5000,14572,31.38651063,0,TRUE,31
72,,,1,1,5000,14572,5.787650713,0,TRUE,32
252,,,1,1,4000,14572,15.2223914,0,TRUE,32
458,2,0,1,1,50,29125,161.980604,1,TRUE,32
572,,,1,1,5000,14572,17.73851156,0,TRUE,32
715,,,1,1,5000,14572,15.12862277,0,TRUE,32
181,,,1,1,273,1943,0.49631973,0,TRUE,33
332,,,1,1,5400,14572,5.159680145,0,TRUE,33
509,,,1,1,5000,14572,7.886438478,0,TRUE,33
599,,,1,1,3000,14572,1.873054132,0,TRUE,33
666,,,1,1,500,14572,178.2699242,1,TRUE,33
938,2,0,1,1,50,29125,120.9909197,1,TRUE,33
966,,,1,1,5000,14572,1.113469783,0,TRUE,33
852,,,1,1,1500,14572,196.8086163,1,TRUE,37
300,1,0,1,1,600,10687,53.34391214,1,TRUE,39
338,1,0,1,0,50,3789,0.231225353,1,TRUE,40
375,,,1,1,234,2339,24944.29266,1,FALSE,40
394,1,0,1,1,400,10687,1.193769625,1,TRUE,40
441,1,0,1,1,500,10687,12.32286563,1,TRUE,40
446,2,0,1,1,2000,27700,61.20911166,1,TRUE,40
469,1,0,1,1,300,10687,1.269668535,1,TRUE,40
568,1,0,1,1,15,10687,2.067048747,1,TRUE,40
628,1,0,1,1,600,10687,39.60304171,1,TRUE,40
654,1,0,1,1,30,10687,0.089577172,1,TRUE,40
873,1,0,1,1,30,10687,2.340324538,1,TRUE,40
891,1,0,1,1,500,10164,3.871391168,1,TRUE,40
631,2,0,1,1,600,27700,32.04155085,1,TRUE,41
975,2,0,1,1,1000,29125,15.82020867,1,TRUE,41
73,2,0,1,1,50,29125,5.330185417,1,TRUE,42
268,1,0,1,1,100,2915,0.550923803,1,TRUE,42
355,1,0,1,0,500,10687,1.178752647,1,TRUE,42
383,1,0,1,1,400,10687,8.371876523,1,TRUE,42
451,2,0,1,1,100,27700,16.13636325,1,TRUE,42
550,1,0,1,1,600,10164,1.22005722,1,TRUE,42
677,2,0,1,1,50,29125,1.099321412,1,TRUE,42
834,,,1,1,1500,14572,124.2249506,1,TRUE,42
935,2,0,1,1,500,29125,0.196080427,1,TRUE,42
5,1,0,1,0,500,10687,16.94112382,1,TRUE,43
69,2,0,1,1,500,29125,34.46395715,1,TRUE,43
714,2,0,1,1,500,29125,0.704948507,1,TRUE,43
44,2,0,1,1,50,29125,25.55836527,1,TRUE,44
76,2,0,1,1,1000,29125,69.93418673,1,TRUE,44
176,2,0,1,1,1000,29125,96.22893524,1,TRUE,44
230,,,1,1,600,29125,17.17072975,1,TRUE,44
408,,,1,1,234,2339,17004.96775,0,FALSE,44
843,1,0,1,1,1000,10164,16.9278146,1,TRUE,44
