TimeStamp,JobId,JobStateId,Priority,TokenAllocation,QuotaTokens,AUId,VCId,TotalWaitingTimeInMins,random,SLA,JobRegistryId,IsYieldedEnabled,IsYieldForEnabled,YieldScopePriority_X,YieldScopePriority_Y
2019-12-26 14:19:55.023,6cdbbf8f-7e7e-4d50-b4c2-edc4191e78b7,0,250,1000,2915,e3fb335d-bf9e-433f-b370-c4d9bcd63a05,100,0.06509609166666666,be05557f-0548-4ad1-bbfe-0009e03cafb1,2019-12-27 07:00:00.000,4463,1,1,1,0
2017-10-27 15:18:01.570,33a75276-126e-4305-982f-590af6c6e7ff,0,2001,2000,1457,2a2b14d0-55ef-4694-91c4-91030ab3f672,100,123.54502397833333,5a7f52b2-5e35-422b-ae20-00018d65f88d,2017-10-27 00:00:00.000,4774,0,1,1,0
2019-01-27 08:31:57.527,250b1178-92c6-4864-a04a-c9da476bb590,0,400,100,2915,e3fb335d-bf9e-433f-b370-c4d9bcd63a05,100,0.6150229833333334,7ae044bd-8dea-4c21-8bd5-0005571c401e,2019-01-27 12:00:00.000,4999,1,1,1,0
2021-05-21 11:20:58.783,e124529c-2541-4199-87b5-06b2a4d27070,0,250,50,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,101.08765807166667,ee6f67df-cb85-417c-ab56-00056b9a0255,2021-05-21 16:40:00.000,5142,1,1,2,0
2021-01-28 15:40:54.183,fa5d31e9-020b-44f6-9281-881b4d4ca113,0,250,50,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,310.48042965,9000e1d8-69fd-4c04-8a75-0005761ce737,2021-01-28 16:40:00.000,5142,1,1,2,0
2021-04-15 12:38:21.767,247312eb-9747-41fe-bcaa-2357a67ef9ee,0,250,50,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,96.01405812,773c782c-01b3-4b42-8d03-0005ad3170e5,2021-04-15 16:40:00.000,5142,1,1,2,0
2021-04-20 10:28:34.717,a195ca9b-1cc2-4ab0-84a4-f55fbb18caff,0,2001,100,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,20.556931236666667,000b3fea-6e76-4ccf-91b1-0005b0a95493,2021-04-20 16:40:00.000,5142,1,1,2,0
2021-01-05 14:18:24.330,302f5b76-142c-4ea9-966d-d92c4c32fe0b,0,200,500,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,84.73462163666667,00d578ce-caa7-449c-ac71-0005d8eb9f96,2021-01-05 16:40:00.000,5142,1,1,2,0
2021-06-17 06:56:22.363,87b4b8a7-0ff1-4893-849e-e75aa357781a,0,250,50,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,6.67625091,3dd76208-aa0a-4518-a9f8-000620318c6e,2021-06-17 16:40:00.000,5142,1,1,2,0
2021-02-03 14:42:18.287,68f5e48a-777c-4e90-a6c2-81913ed73a86,0,250,50,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,181.53423842333333,3dda8ed8-398c-4e67-be48-000623b5c1f5,2021-02-03 16:40:00.000,5142,1,1,2,0
2020-12-10 11:34:50.430,c4a7f74e-bb52-43a9-9728-19d4e1e5456d,0,250,50,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,131.33435152166666,7055049b-8622-4645-a87c-0006621713ca,2020-12-10 16:40:00.000,5142,1,1,2,0
2020-12-14 15:59:25.420,508072a4-ad3e-49f8-a975-ff86ec581fcb,0,200,400,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,0,efd8dcd4-01ac-458e-b767-0006968d16d4,2020-12-14 16:40:00.000,5142,1,1,2,0
2020-12-13 00:25:42.543,79d01475-9a45-4f99-a62e-d366f64c216b,1,200,400,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,0.14634461333333335,26319562-7c44-4d90-a26c-00072b273ff3,2020-12-12 16:40:00.000,5142,1,1,2,0
2021-02-05 13:03:22.827,c6f3fda6-026c-4686-9127-5de55877fc55,0,2001,600,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,51.60956037333334,2610c85d-2b61-4440-b1a2-0007420b0be3,2021-02-05 16:40:00.000,5142,1,1,2,0
2021-01-08 17:22:42.600,16c83e45-c857-4f2b-befb-55cc6e7488f9,0,200,600,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,0.8364122433333333,66326951-ed38-4b5b-ae97-000763e6a390,2021-01-08 16:40:00.000,5142,1,1,2,0
2020-12-09 13:02:45.317,b3fe061f-b481-4b8a-87df-d631a3ce0600,0,2001,50,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,37.21956984,6fc495e7-a79d-487e-89f0-000798531103,2020-12-09 16:40:00.000,5142,1,1,2,0
2021-01-02 23:57:20.427,73eb3876-2e58-440a-822d-47e00a4b27e9,0,300,500,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,0.35022719,02ac9775-6b2f-4d0e-8fad-0007b10b9e38,2021-01-02 16:40:00.000,5142,1,1,2,0
2021-01-20 15:24:55.040,8b6ff13a-0c95-439c-8d68-5471dca18e3f,0,200,600,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,26.015302923333333,98cbb1e6-0676-4bd0-b36f-0007cdd92f6e,2021-01-20 16:40:00.000,5142,1,1,2,0
2021-01-01 10:27:46.653,b0b23592-2ee8-4117-989c-1d04f66f2c07,0,200,500,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,34.46395715333333,0b31b820-fad7-4853-9541-0007f4417cb3,2021-01-01 16:40:00.000,5142,1,1,2,0
2021-05-06 10:31:48.143,586b3f68-a41c-4a60-bde4-b2ebeaaa411d,0,250,50,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,51.057395740000004,bd49fdc3-71d8-44e8-83fa-00081655ed80,2021-05-06 16:40:00.000,5142,1,1,2,0
2021-05-07 10:24:00.000,a723de11-d03d-47a7-a311-d8d740be76fd,0,250,100,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,4.7264204733333335,16748576-f1c6-4b75-ac5a-00085bf9741a,2021-05-07 16:40:00.000,5142,1,1,2,0
2021-01-05 12:02:24.537,d56826ae-6689-469d-baa2-2d405331f765,0,200,500,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,78.78743867333334,bdc40b25-4758-41bf-b7e0-00086c8b56f7,2021-01-05 16:40:00.000,5142,1,1,2,0
