TimeStamp,YieldScopePriority_X,YieldScopePriority_Y,SLA,JobStateId,Priority,TokenAllocation,SumToken,QuotaTokens,IsQuotaFullyLoad,TotalWaitingTimeInMins,IsYieldForEnabled,IsYieldedEnabled,index
00:34.0,NULL,NULL,NULL,0,78,234,6654,6351,1,728.416754,1,1,1
00:34.0,NULL,NULL,NULL,0,79,500,6654,6351,1,1.160603407,1,1,2
00:34.0,NULL,NULL,NULL,0,79,500,6654,6351,1,28.81803894,1,1,3
00:34.0,NULL,NULL,NULL,0,65,234,4402,2289,1,799.1496129,1,1,4
00:34.0,NULL,NULL,NULL,0,78,234,6654,6351,1,743.0915037,1,1,5
00:34.0,NULL,NULL,NULL,0,66,234,4402,2289,1,731.8923744,1,1,6
00:34.0,NULL,NULL,NULL,0,79,500,6654,6351,1,1.126230112,1,1,7
00:34.0,NULL,NULL,NULL,0,64,350,4402,2289,1,2.514261772,1,1,8
00:34.0,NULL,NULL,NULL,0,69,500,4402,2289,1,458.3537216,1,1,9
00:34.0,NULL,NULL,NULL,0,68,234,4402,2289,1,799.3326729,1,1,10
00:34.0,1,0,NULL,1,53,180,11460,10687,1,0.668968715,1,1,11
00:34.0,1,0,40:00.0,1,50,30,7480,10687,0,0.081505003,1,1,12
00:34.0,NULL,NULL,NULL,1,54,100,14000,29125,0,2.181623183,1,1,13
00:34.0,1,0,NULL,1,57,180,11460,10687,1,4.824697385,1,1,14
00:34.0,1,0,NULL,1,50,210,11460,10687,1,0.495281153,1,1,15
00:34.0,NULL,NULL,NULL,1,61,500,4402,2289,1,454.7212745,1,1,16
00:34.0,1,0,NULL,1,62,180,11460,10687,1,3.73101096,1,1,17
00:34.0,NULL,NULL,NULL,1,77,234,6654,6351,1,23.42914143,1,1,18
00:34.0,1,0,00:00.0,1,53,1001,7007,415,1,1.953780383,1,1,19
00:34.0,0,0,00:00.0,1,22,8000,17500,16516,1,2.204277257,1,0,20
00:34.0,1,0,NULL,1,58,210,11460,10687,1,1.975646665,1,1,21
00:34.0,0,0,00:00.0,1,22,8000,17500,16516,1,3.207867877,1,0,22
00:34.0,1,0,NULL,1,52,180,11460,10687,1,1.415016892,1,1,23
00:34.0,1,0,NULL,1,51,180,11460,10687,1,8.048965127,1,1,24
00:34.0,1,0,NULL,1,57,180,11460,10687,1,1.624378215,1,1,25
00:34.0,1,0,NULL,1,52,180,11460,10687,1,0.749431825,1,1,26
00:34.0,NULL,NULL,NULL,1,51,350,1200,1800,0,4.180445647,1,1,27
00:34.0,1,0,NULL,1,50,180,11460,10687,1,0.947596585,1,1,28
00:34.0,1,0,00:00.0,1,52,1001,7007,415,1,1.776449945,1,1,29
00:34.0,1,0,NULL,1,51,180,11460,10687,1,1.0416016,1,1,30
00:34.0,1,0,40:00.0,1,52,30,7480,10687,0,1.058782467,1,1,31
00:34.0,1,0,40:00.0,1,51,30,7480,10687,0,2.576127712,1,1,32
00:34.0,1,0,NULL,1,50,180,11460,10687,1,0.426275452,1,1,33
00:34.0,1,0,40:00.0,1,53,30,7480,10687,0,1.571247835,1,1,34
00:34.0,1,0,NULL,1,53,180,11460,10687,1,4.556982738,1,1,35
00:34.0,1,0,00:00.0,1,51,1001,7007,415,1,3.187303282,1,0,36
00:34.0,1,0,NULL,1,50,180,11460,10687,1,1.054621857,1,1,37
